Subject,Electrode,Ictal,Interictal,ictal_ovl,interictal_unspl
1,29,17188,1199379,1,1
2,29,6625,1662689,1,1
3,29,15483,155255,1,1
4,29,384,518328,1,1
5,29,70,104,1,1
6,29,151,2990,1,1
7,29,327,714,1,1
8,29,20,190,1,1
9,29,135,2610,1,1
10,29,225,2772,1,1
11,29,282,3239,1,1
12,29,180,1710,1,1
13,29,,,1,1
14,29,,,1,1
15,29,,,1,1
16,29,,,1,1
17,29,,,1,1
18,29,,,1,1
19,29,,,1,1
20,29,,,1,1
21,29,,,1,1
22,29,,,1,1
23,29,,,1,1
24,29,,,1,1
25,29,,,1,1
26,29,,,1,1
27,29,,,1,1
28,29,,,1,1
29,29,,,1,1
30,29,,,1,1
